title,address,date,rate_1h,rate_2h,rate_3h,rate_4h,rate_evening,rate_weekend
1700 Seventh Avenue,1700 Seventh Ave,2014-08-14 11:39:10 -0700,$8.00,$8.00,$13.00,$15.00,$7.00,$7.00
1700 Seventh Avenue,1700 Seventh Ave,2015-03-27 14:25:22 -0700,$10.00,$10.00,$14.00,$17.00,$7.00,$7.00
1700 Seventh Avenue,1700 Seventh Ave,2015-08-13 15:34:27 -0700,$12.00,$12.00,$15.00,$18.00,$7.00,$7.00
1st and Columbia Garage,721 1st Ave,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,$6.00,$6.00
1st and Main Lot,305 1st Ave S,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,$10.00,same as above
300 2nd Ave Ext,300 2nd Ave Ext S,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$15.00,$5.00,$5.00
300 Second Ave Ext,300 Second Ave Ext S,2013-07-26 13:56:46 -0700,$3.66,$7.32,$10.98,$18.30,$6.10,$6.10
5 Star Parking,714 1st Ave,2013-06-20 09:11:48 -0700,$6.00,$9.00,$12.00,$18.00,$6.00,$6.00
5-Star Parking,714 First Ave,2013-07-26 13:56:46 -0700,$6.00,$9.00,$12.00,$18.00,$6.00,$6.00
505 1st Avenue S Garage,505 1st Ave S,2013-06-20 09:11:48 -0700,$7.00,$10.00,$12.00,$14.00,same as above,same as above
505 First Avenue S Garage,505 First Ave S,2013-07-26 13:56:46 -0700,$5.00,$12.00,$14.00,$16.00,same,N/A
505 First Avenue S Garage,505 First Ave S,2014-06-23 12:07:32 -0700,$5.00,$12.00,$14.00,$16.00,$7.00 (4p-close),N/A
505 First Avenue S Garage,505 First Ave S,2015-06-22 13:37:47 -0700,$5.00,$12.00,$14.00,$16.00,$7.00 (4 p.m. - close),N/A
520 Pike Tower,520 Pike St,2013-11-14 13:29:24 -0800,$8.00,$11.00,$14.00,$18.00,$7.00,$7.00
720 Olive,720 Olive Way,2013-11-14 13:29:24 -0800,$7.00,$12.00,$14.00,$16.00,$7.00,$7.00
800 Fifth Avenue,800 Fifth Ave,2014-08-14 11:39:10 -0700,$11.00,$22.00,$33.00,$33.00,$7.00,$7.00
800 Fifth Avenue,800 Fifth Ave,2014-10-20 13:39:01 -0700,$11.00,$18.00,$20.00,$22.00,$7.00,$7.00
Bank of America 5th Ave Plaza,800 Fifth Ave,2013-11-14 13:29:24 -0800,,,,,$7.00,$7.00
Bank of America 5th Ave Plaza,800 Fifth Ave,2013-11-15 14:50:11 -0800,$11.00,$18.00,$20.00,$22.00,$7.00,$7.00
Bell Street Pier Garage,9 Wall Street,2013-07-09 19:19:44 -0700,$5.00,$8.00,$10.00,$12.00,$5.00,same as above
Bell Street Pier Garage,9 Wall Street,2014-07-01 16:40:09 -0700,$5.00,$8.00,$10.00,$12.00,$7.00,same as above
Bell Street Pier Garage,9 Wall Street,2014-08-14 11:39:10 -0700,$5.00,$8.00,$12.00,$13.00,$7.00,same as above
Bell Street Pier Garage,9 Wall Street,2014-12-30 12:06:02 -0800,$5.00,$8.00,$12.00,$13.00,$7.00,Same as Evening
Bell Street Pier Garage,9 Wall Street,2015-03-27 14:25:22 -0700,$5.00,$8.00,$12.00,$13.00,$8.00,Same as Weekday
Butler Garage,114 James St,2013-06-20 09:11:48 -0700,$7.00,$12.00,$16.00,$20.00,$7.00,$7.00
Butler Garage,114 James St,2013-07-26 13:56:46 -0700,$8.00,$12.00,$17.00,$20.00,$6.00,$9.00
Butler Garage,114 James St,2013-09-04 15:33:44 -0700,$3.00,$6.00,$9.00,$12.00,$6.00,$9.00
Butler Garage,114 James St,2014-07-01 16:40:09 -0700,$3.00,$6.00,$9.00,$12.00,$6.00,$7.00
Butler Garage,114 James St,2015-03-27 14:25:22 -0700,$3.00,$6.00,$9.00,$12.00,$7.00,$8.00
Butler Garage,114 James St,2015-08-13 15:34:27 -0700,$3.00,$6.00,$9.00,$12.00,Same as Weekday,$8.00
Century Square,1501 Fourth Ave,2013-11-14 13:29:24 -0800,$8.00,$13.00,$17.00,$19.00,$7.00,$7.00
Century Square,1501 Fourth Ave,2013-11-26 10:55:21 -0800,$8.00,$13.00,$17.00,$19.00,$6.00,$6.00
CenturyLink Field North Lot,201 King St,2013-07-13 12:04:37 -0700,$12.00,$12.00,$12.00,$12.00,$6.00,$6.00
CenturyLink Field North Lot,201 King St,2014-11-18 17:26:55 -0800,$13.00,$13.00,$13.00,$13.00,same,same
CenturyLink Field North Lot,201 King St,2014-12-30 12:06:02 -0800,$13.00,$13.00,$13.00,$13.00,$6.00,$6.00
CenturyLink Field North Lot,201 King St,2015-08-13 15:34:27 -0700,$16.00,$16.00,$16.00,$16.00,$6.00,$6.00
Commuter Centre Garage,809 Western Ave,2013-06-20 09:11:48 -0700,$5.00,$10.00,$13.00,$15.00,same as above,same as above
Commuter Centre Garage,809 Western Ave,2013-07-26 13:56:46 -0700,$5.00,$10.00,$13.00,$15.00,same,N/A
Commuter Centre Lot,801 Western Ave,2013-06-20 09:11:48 -0700,$6.00,$12.00,$18.00,$24.00,$10.00,same as above
Commuter Centre Lot,801 Western Ave,2013-07-26 13:56:46 -0700,$5.00,$10.00,$15.00,$20.00,$7.00,same
Commuter Centre Lot,801 Western Ave,2014-08-14 11:39:10 -0700,$4.00,$8.00,$12.00,$16.00,same,same
Commuter Centre Lot,801 Western Ave,2014-11-18 17:26:55 -0800,$4.00,$8.00,$12.00,$16.00,$8.00,same
Commuter Centre Lot,801 Western Ave,2014-12-30 12:06:02 -0800,$4.00,$8.00,$12.00,$16.00,$8.00,Same as Evening
Commuter Centre Lot,801 Western Ave,2015-03-27 14:25:22 -0700,$4.00,$8.00,$12.00,$16.00,$8.00,Same as Weekday 
DPS Parking,302 2nd Ave S,2013-06-20 09:11:48 -0700,$5.00,$9.00,$13.00,$17.00,$8.00,same as above
DPS Parking,302 Second Ave S,2013-07-26 13:56:46 -0700,$5.00,$10.00,$15.00,$20.00,$10.00,same
Desimone Lot,1615 Western Ave,2013-06-20 09:11:48 -0700,$8.00,$8.00,$16.00,$16.00,$7.00,same as above
Desimone Lot,1615 Western Ave,2013-07-26 13:56:46 -0700,$8.00,$8.00,$16.00,$16.00,$7.00,same
Desimone Lot,1615 Western Ave,2014-06-23 12:07:32 -0700,$8.00,$8.00,$12.00,$16.00,$7.00,same
Desimone Lot,1615 Western Ave,2014-12-30 12:06:02 -0800,$8.00,$8.00,$12.00,$16.00,$7.00,Same as Evening
Desimone Lot,1615 Western Ave,2015-03-27 14:25:22 -0700,$8.00,$8.00,$12.00,$16.00,$7.00,Same as Weekday
Diamond Lot,1000 1st Ave S,2015-10-07 21:07:08 -0700,$5.00,$10.00,$15.00,$20.00,none,Same as Weekday
Diamond Lot,122 Occidental Ave S,2013-06-20 09:11:48 -0700,$5.00,$9.00,$16.00,$16.00,$20.00,$10.00
Diamond Lot,122 Occidental Ave S,2013-07-26 13:56:46 -0700,$5.00,$10.00,$15.00,$20.00,$12.00,same
Diamond Lot,122 Occidental Ave S,2014-07-01 16:40:09 -0700,$5.00,$10.00,$15.00,$20.00,$8.00,same
Diamond Lot,122 Occidental Ave S,2014-12-30 12:06:02 -0800,$5.00,$10.00,$15.00,$20.00,$8.00,Same as Evening
Diamond Lot,122 Occidental Ave S,2015-03-27 14:25:22 -0700,$9.00,$17.00,$25.00,$33.00,$12.00,Same as Evening
Diamond Lot,122 Occidental Ave S,2015-08-13 15:34:27 -0700,$10.00,$20.00,$30.00,$40.00,$12.00,Same as Evening
Diamond Lot,1524 Alaskan Way,2013-06-20 09:11:48 -0700,$7.00,$14.00,$21.00,$28.00,same as above,same as above
Diamond Lot,1524 Alaskan Way,2013-07-26 13:56:46 -0700,$6.00,$12.00,$18.00,$24.00,same,same
Diamond Lot,1524 Alaskan Way,2014-12-30 12:06:02 -0800,$6.00,$12.00,$18.00,$24.00,Same as Weekday,Same as Weekday
Diamond Lot,1524 Alaskan Way,2015-08-13 15:34:27 -0700,$9.00,$18.00,$27.00,$36.00,N/A,Same as Weekday
Diamond Lot,202 Occidental Ave S,2013-06-20 09:11:48 -0700,$5.00,$9.00,$13.00,$17.00,$10.00,same as above
Diamond Lot,202 Occidental Ave S,2013-07-26 13:56:46 -0700,$5.00,$10.00,$15.00,$20.00,$12.00,same
Diamond Lot,202 Occidental Ave S,2014-07-01 16:40:09 -0700,$5.00,$10.00,$15.00,$20.00,$8.00,same
Diamond Lot,202 Occidental Ave S,2014-11-18 17:26:55 -0800,$4.75,$9.75,$14.75,$19.75,$8.00,same
Diamond Lot,202 Occidental Ave S,2014-12-30 12:06:02 -0800,$4.75,$9.75,$14.75,$19.75,$8.00,Same as Evening
Diamond Lot,255 S Washington St,2013-06-20 09:11:48 -0700,none (evening only),none (evening only),none (evening only),none (evening only),$5.00,$5.00
Diamond Lot,255 S Washington St,2014-07-01 16:40:09 -0700,$3.00,$6.00,$9.00,$15.00,$5.00,$5.00
Diamond Lot,255 S Washington St,2014-12-30 12:06:02 -0800,$3.00,$6.00,$9.00,$15.00,$5.00,Same as Evening
Diamond Lot,300 Second Ave Ext S,2013-09-04 15:33:44 -0700,$3.00,$6.00,$9.00,$15.00,$5.00,$5.00
Diamond Lot,302 Second Ave S,2013-09-04 15:33:44 -0700,$5.00,$10.00,$15.00,$20.00,$10.00,same
Diamond Lot,302 Second Ave S,2014-12-30 12:06:02 -0800,$5.00,$10.00,$15.00,$20.00,$10.00,Same as Evening
Diamond Lot,302 Second Ave S,2015-03-27 14:25:22 -0700,$9.00,$17.00,$25.00,$33.00,$12.00,Same as Evening
Diamond Lot,302 Second Ave S,2015-08-13 15:34:27 -0700,$10.00,$20.00,$30.00,$40.00,$12.00,Same as Evening
Diamond Lot,615 1st Ave,2013-06-20 09:11:48 -0700,$4.00,$8.75,$13.50,$18.75,$10.00,same as above
Diamond Lot,615 First Ave,2013-07-26 13:56:46 -0700,$4.00,$8.75,$13.50,$18.25,$10.00,same
Diamond Lot,615 First Ave,2014-11-18 17:26:55 -0800,$5.00,$10.00,$15.00,$20.00,$10.00,same
Diamond Lot,615 First Ave,2014-12-30 12:06:02 -0800,$5.00,$10.00,$15.00,$20.00,$10.00,Same as Evening
Diamond Lot,615 First Ave,2015-03-27 14:25:22 -0700,$7.00,$13.00,$19.00,$25.00,$10.00,Same as Evening
Diamond Lot,615 First Ave,2015-08-13 15:34:27 -0700,$9.00,$17.00,$25.00,$33.00,$10.00,Same as Evening
Diamond Lot,922 1st Ave S,2015-10-07 21:07:08 -0700,$5.00,$10.00,$15.00,$20.00,none,Same as Weekday
Diamond Lot CLOSED,255 S Washington St CLOSED,2015-08-13 15:34:27 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Evening
Dome Parking,1032 1st Ave S,2015-10-07 21:07:08 -0700,$8.00,$10.00,$12.00,$12.00,none,Same as Weekday
First and Columbia Garage,721 First Ave,2013-07-26 13:56:46 -0700,$3.00,$6.00,$9.00,$12.00,$6.00,$6.00
First and Main Lot,305 First Ave S,2013-07-26 13:56:46 -0700,$4.00,$8.00,$12.00,$16.00,$10.00,same
First and Main Lot,305 First Ave S,2014-12-30 12:06:02 -0800,$4.00,$8.00,$12.00,$16.00,$10.00,Same as Evening
First and Main Lot,305 First Ave S,2015-03-27 14:25:22 -0700,$7.00,$13.00,$19.00,$25.00,$10.00,Same as Evening
First and Main Lot,305 First Ave S,2015-08-13 15:34:27 -0700,$7.00,$13.00,$19.00,$25.00,Same as Weekday,Same as Evening
First and Main Lot,305 First Ave S,2015-11-18 13:11:47 -0800,$7.00,$13.00,$19.00,$25.00,$10.00,Same as Weekday
Fourth & Madison,925 Fourth Ave,2013-11-14 13:29:24 -0800,,,,,$7.00,$7.00
Fourth & Madison,925 Fourth Ave,2013-11-15 14:50:11 -0800,$12.00,$19.00,$21.00,$24.00,$7.00,$7.00
Fourth & Madison,925 Fourth Ave,2013-11-26 10:55:21 -0800,$12.00,$19.00,$21.00,$24.00,$6.00,$6.00
Fourth & Madison,925 Fourth Ave,2015-03-27 14:25:22 -0700,$12.00,$19.00,$22.00,$24.00,$7.00,$7.00
Frye Parking Garage,117 3rd Ave S,2013-06-20 09:11:48 -0700,$6.00,$10.00,$14.00,$12.00,same as above,same as above
Frye Parking Garage,117 Third Ave S,2013-07-26 13:56:46 -0700,$6.00,$10.00,$14.00,$14.00,same,n/A
Frye Parking Garage,117 Third Ave S,2014-07-01 16:40:09 -0700,$6.50,$11.50,$14.00,$14.00,same,n/A
Frye Parking Garage,117 Third Ave S,2014-12-30 12:06:02 -0800,$6.50,$11.50,$14.00,$14.00,Same as Weekday,n/A
Frye Parking Garage,117 Third Ave S,2015-06-22 13:37:47 -0700,$6.50,$11.50,$14.00,$14.00,Same as Weekday,N/A
Frye Parking Garage,117 Third Ave S,2015-08-13 15:34:27 -0700,$7.00,$13.00,$15.00,3 hr max,Same as Weekday,N/A
Harbor Steps Garage,1200 Western Ave,2013-06-20 09:11:48 -0700,$6.00,$12.00,$18.00,$24.00,$5.00 (Sun-Th) / $7.00 (F-Sat),same as above
Harbor Steps Garage,1200 Western Ave,2013-07-26 13:56:46 -0700,$6.00,$12.00,$18.00,$24.00,$5.00 (Sun-Th) / $7.00 (F-Sat),same
Harbor Steps Garage,1200 Western Ave,2014-12-30 12:06:02 -0800,$6.00,$12.00,$18.00,$24.00,$5.00 (Sun-Th) / $7.00 (F-Sat),Same as Evening
Harbor Steps Garage,1200 Western Ave,2014-12-30 14:07:58 -0800,$6.00,$12.00,$18.00,$24.00,$5.00 (Sun-Th) / $7.00 (F-Sat),See Evening
Harbor Steps Garage,1200 Western Ave,2015-03-27 14:25:22 -0700,$6.00,$12.00,$18.00,$24.00,$5.00 (Sun-Th) / $7.00 (F-Sat) Overnight out by 8am,Same as Weekday 
Harbor Steps Garage,1200 Western Ave,2015-06-22 13:37:47 -0700,$6.00,$12.00,$18.00,$24.00,$5.00 (Sun - Th) / $7.00 (F - Sat) Overnight out by 8 a.m.,Same as Weekday 
Harbor Steps Garage,1200 Western Ave,2015-08-13 15:34:27 -0700,$6.00,$12.00,$18.00,$24.00,$7.00 (Sun - Th) / $10.00 (F - Sat) Overnight out by 8 a.m.,Same as Weekday 
Hillclimb Court Garage,1422 Alaskan Way,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same as above
Hillclimb Court Garage,1422 Alaskan Way,2013-07-26 13:56:46 -0700,$3.00,$6.00,$9.00,$12.00,same,same
Hillclimb Court Garage,1422 Alaskan Way,2014-08-14 11:39:10 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same
Hillclimb Court Garage,1422 Alaskan Way,2014-12-30 12:06:02 -0800,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Evening
Hillclimb Court Garage,1422 Alaskan Way,2015-03-27 14:25:22 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Weekday
Hillclimb Court Garage,1422 Alaskan Way,2015-08-13 15:34:27 -0700,$3.00,$6.00,$9.00,$12.00,,Same as Weekday
Hillclimb Court Garage,1422 Alaskan Way,2015-08-17 11:06:47 -0700,$3.00,$6.00,$9.00,$12.00,Same as Weekday,Same as Weekday
King Street Center,200 King St S,2013-06-20 09:11:48 -0700,$7.00,$9.00,$10.00,$12.00,same as above,same as above
King Street Center,200 King St S,2013-07-26 13:56:46 -0700,$7.00,$9.00,$10.00,$12.00,$6.00,$6.00
King Street Center,200 King St S,2014-11-18 17:26:55 -0800,$7.00,$9.00,$10.00,$12.00,same,same
King Street Center,200 King St S,2014-12-30 12:06:02 -0800,$7.00,$9.00,$10.00,$12.00,Same as Weekday,Same as Weekday
Market Place Garage,2001 Western Ave,2013-06-20 09:11:48 -0700,$8.00,$14.00,$15.00,$17.00,$6.00,same as above
Market Place Garage,2001 Western Ave,2013-07-26 13:56:46 -0700,$8.00,$14.00,$15.00,$17.00,$6.00,same
Market Place Garage,2001 Western Ave,2014-07-01 16:40:09 -0700,$5.00,$14.00,$17.00,$19.00,same,same
Market Place Garage,2001 Western Ave,2014-11-18 17:26:55 -0800,$8.00,$14.00,$17.00,$19.00,same,same
Market Place Garage,2001 Western Ave,2014-12-30 12:06:02 -0800,$8.00,$14.00,$17.00,$19.00,Same as Weekday,Same as Weekday
Market Place Garage,2001 Western Ave,2015-03-27 14:25:22 -0700,$5.00,$14.00,$17.00,$19.00,$9.00,Same as Weekday
Market Place Garage,2001 Western Ave,2015-08-13 15:34:27 -0700,$6.00,$16.00,$18.00,$20.00,$6.00 (4 p.m. - close),Same as Weekday
Market Place Tower,93 Lenora,2013-06-20 09:11:48 -0700,$6.00,$8.00,$11.00,$13.00,same as above,$10.00
Market Place Tower,93 Lenora St,2013-07-26 13:56:46 -0700,$6.00,$8.00,$11.00,$13.00,same,$10 (7a - 7p)
Market Place Tower,93 Lenora St,2014-12-30 12:06:02 -0800,$6.00,$8.00,$11.00,$13.00,Same as Weekday,$10 (7a - 7p)
Market Place Tower,93 Lenora St,2015-06-22 13:37:47 -0700,$6.00,$8.00,$11.00,$13.00,Same as Weekday,$10 (7 a.m. - 7 p.m.)
Market Place Tower,93 Lenora St,2015-08-13 15:34:27 -0700,$7.33,$9.77,$13.43,$15.87,$12.21 (7 p.m. - close),Same as Weekday
Market Place Tower,93 Lenora St,2015-11-20 16:13:58 -0800,$7.33,$9.77,$13.43,$15.87,$8.00 (4p.m. - close),Same as Weekday
Merrill Place Garage,72 S King St,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,same as above,same as above
Merrill Place Garage,72 S King St,2013-07-26 13:56:46 -0700,$3.00,$6.00,$9.00,$12.00,same,same
Merrill Place Garage,72 S King St,2014-11-18 17:26:55 -0800,$7.00,$10.00,$14.00,$18.00,same,same
Merrill Place Garage,72 S King St,2014-12-30 12:06:02 -0800,$7.00,$10.00,$14.00,$18.00,Same as Weekday,Same as Weekday
Millennium Tower,719 2nd Ave,2013-06-20 09:11:48 -0700,$8.00,$12.00,$15.00,$18.00,same as above,same as above
Millennium Tower,719 Second Ave,2013-07-26 13:56:46 -0700,$8.00,$12.00,$15.00,$18.00,same,N/A
Millennium Tower,719 Second Ave,2014-12-30 12:06:02 -0800,$8.00,$12.00,$15.00,$18.00,Same as Weekday,N/A
Norton Building,800 1st Ave,2013-06-20 09:11:48 -0700,$8.00,$11.00,$14.00,$18.00,$9.00 (overnight),same as above
Norton Building,800 First Ave,2013-07-26 13:56:46 -0700,$8.00,$11.00,$14.00,$18.00,$9.00 (overnight),N/A
Pioneer Square Garage,74 S Jackson St,2013-06-20 09:11:48 -0700,$5.00,$7.00,$9.00,$11.00,$5.00,same as above
Pioneer Square Garage,74 S Jackson St,2013-07-26 13:56:46 -0700,$5.00,$7.00,$9.00,$11.00,$5.00,N/A
Public Market Garage,1531 Western Ave,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same as above
Public Market Garage,1531 Western Ave,2013-07-26 13:56:46 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same
Public Market Garage,1531 Western Ave,2014-12-30 12:06:02 -0800,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Evening
Public Market Garage,1531 Western Ave,2015-07-13 11:14:58 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Weekday
Qwest Field Parking - North Lot,201 King St,2013-06-20 09:11:48 -0700,$12.00,$12.00,$12.00,$12.00,$6.00,$6.00
Republic Lot,1407 Western Ave,2013-06-20 09:11:48 -0700,$7.38,$7.38,$10.65,$10.65,$8.20,same as above
Republic Lot,1407 Western Ave,2013-07-26 13:56:46 -0700,$7.38,$7.38,$10.65,$10.65,$8.20,same
Republic Lot,1407 Western Ave,2014-12-30 12:06:02 -0800,$7.38,$7.38,$10.65,$10.65,$8.20,Same as Evening
Republic Lot,1407 Western Ave,2015-03-27 14:25:22 -0700,$7.38,$7.38,$10.65,$10.65,$8.20,Same as Weekday
Seattle Steam Lot,1301 Western Ave,2013-06-27 16:46:06 -0700,$7.38,$7.38,$9.84,$17.21,$6.56 (Sun-W) / $9.84 (Th-Sat),same as above
Seattle Steam Lot ,1301 Western Ave,2013-06-20 09:11:48 -0700,$7.38,$7.38,$9.84,$17.21,$6.56 (Sun-W) / $9.84 (Th-Sat),same as above
Seattle Steam Lot ,1301 Western Ave,2014-08-14 11:39:10 -0700,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),same as above
Seattle Steam Lot ,1301 Western Ave,2014-12-30 12:06:02 -0800,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),Same as Evening
Seattle Steam Lot ,1301 Western Ave,2014-12-30 14:07:58 -0800,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),See Evening
Seattle Steam Lot ,1301 Western Ave,2015-03-27 14:25:22 -0700,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),Same as Weekday 
Securities Building,1904 Third Ave,2013-11-14 13:29:24 -0800,,,,,$7.00,$7.00
Securities Building,1904 Third Ave,2013-11-15 14:50:11 -0800,$6.00,$8.00,$10.00,$12.00,$6.00,$7.00
Securities Fourth Ave.,1913 Fourth Ave,2014-08-14 11:39:10 -0700,$6.00,$8.00,$10.00,$12.00,$6.00,$7.00
Securities Fourth Ave.,1913 Fourth Ave,2015-08-13 15:34:27 -0700,$8.00,$10.00,$12.00,$14.00,$7.00,$7.00
Securities Third Ave.,1904 Third Ave,2014-08-14 11:39:10 -0700,$6.00,$8.00,$10.00,$12.00,$6.00,$7.00
Securities Third Ave.,1904 Third Ave,2015-08-13 15:34:27 -0700,$8.00,$10.00,$12.00,$14.00,$7.00,$7.00
Seventh & Stewart,1700 Seventh Ave,2013-11-14 13:29:24 -0800,,,,,$7.00,$7.00
Seventh & Stewart,1700 Seventh Ave,2013-11-15 14:50:11 -0800,$8.00,$8.00,$13.00,$15.00,$7.00,$7.00
Sinking Ship Garage,515 2nd Ave,2013-06-20 09:11:48 -0700,$7.00,$12.00,$17.00,$20.00,$6.00 (Sun-Th) / $12.00 (Fri-Sat),$6.00
Sinking Ship Garage,515 Second Ave,2013-07-26 13:56:46 -0700,$7.00,$12.00,$17.00,$20.00,$6.00 (S-W) / $12.00 (Th-Sat),$6.00
Sinking Ship Garage,515 Second Ave,2014-07-03 10:02:12 -0700,$7.00,$12.00,$17.00,$20.00,as posted,$6.00
Sinking Ship Garage,515 Second Ave,2014-11-18 17:26:55 -0800,$7.00,$12.00,$17.00,$20.00,$10.00,$10.00
Sinking Ship Garage,515 Second Ave,2015-08-13 15:34:27 -0700,$10.00,$12.00,$14.00,$14.00,as posted,$8.00
Sinking Ship Garage,515 Second Ave,2015-11-18 13:11:47 -0800,$10.00,$12.00,$14.00,$14.00,$12.00,$12.00
Stadium Place Garage,530 Occidental Ave S,2013-07-09 19:19:44 -0700,$7.00,$10.00,$12.00,$14.00,$7.00,$10.00
Stadium Place Garage,530 Occidental Ave S,2013-10-23 11:11:07 -0700,$3.00,$6.00,$9.00,$12.00,same,same
Stadium Place Garage,530 Occidental Ave S,2014-12-30 12:06:02 -0800,$3.00,$6.00,$9.00,$12.00,Same as Weekday,Same as Weekday
U.S. Bank Centre / City Centre,1420 Fifth Ave,2013-11-14 13:29:24 -0800,$9.00,$12.00,$15.00,$19.00,$7.00,$7.00
Union Square,600 University St,2013-11-14 13:29:24 -0800,$9.00,$12.00,$15.00,$19.00,$7.00,$7.00
Waterfron Place #2,1101 Western Ave,2015-08-13 15:34:27 -0700,$6.00,$12.00,$18.00,$24.00,"$8 (Mon-Wed), $10 (Thurs-Sun)",Same as Weekday
Waterfront Place,1011 Western Ave,2013-06-20 09:11:48 -0700,$6.00,$10.00,$14.00,$16.00,same as above,same as above
Waterfront Place,1011 Western Ave,2013-07-26 13:56:46 -0700,$6.00,$10.00,$14.00,$16.00,same,same
Waterfront Place,1011 Western Ave,2014-12-30 12:06:02 -0800,$6.00,$10.00,$14.00,$16.00,Same as Weekday,Same as Weekday
Waterfront Place,1011 Western Ave,2015-08-13 15:34:27 -0700,$6.00,$10.00,$14.00,$16.00,N/A,Same as Weekday
Waterfront Place #2,1101 Western Ave,2015-09-03 11:03:53 -0700,$6.00,$12.00,$18.00,$24.00,"$8 (Mon-Wed), $10 (Thurs-Sun)",Same as Weekday
Watermark Garage,1100 Western Ave,2014-05-23 10:13:15 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same
Watermark Garage,1100 Western Ave,2014-12-30 12:06:02 -0800,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Evening
Watermark Garage,1100 Western Ave,2015-03-27 14:25:22 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Weekday
Watermark Garage,1108 Western Ave,2015-06-22 13:37:47 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Weekday
Watermark Tower Garage,1100 Western Ave,2013-07-26 13:56:46 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same
Watermark Tower Garage,1108 Western Ave,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same as above
West Edge,1500 Second Ave,2014-11-18 17:26:55 -0800,$7.00,$12.00,$13.00,$16.00,$7.00,$7.00
Western and Seneca Lot,1101 Western Ave,2013-07-26 13:56:46 -0700,$6.15,$11.89,$17.62,$19.67,$6.56 (M-W) / $8.20 (Th-Sun),same
Western and Seneca Lot,1101 Western Ave,2014-07-01 16:40:09 -0700,$8.00,$16.00,$24.00,$30.00,$8.00 (M-W) / $10.00 (Th-Sun),same
Western and Seneca Lot,1101 Western Ave,2014-12-30 12:06:02 -0800,$8.00,$16.00,$24.00,$30.00,$8.00 (M-W) / $10.00 (Th-Sun),Same as Evening
Western and Seneca Lot,1101 Western Ave,2014-12-30 14:07:58 -0800,$8.00,$16.00,$24.00,$30.00,$8.00 (M-W) / $10.00 (Th-Sun),See Evening
Western and Seneca Lot,1101 Western Ave,2015-03-27 14:25:22 -0700,$4.92,$9.84,$14.86,$19.78,$8.20,Same as Weekday
Western/Seneca Lot,1101 Western Ave,2013-06-20 09:11:48 -0700,$6.15,$11.89,$17.62,$19.67,$6.56 (M-W) / $8.20 (Th-Sun),same as above
Westlake Tower,1601 Fifth Ave,2013-11-14 13:29:24 -0800,$8.00,$12.00,$14.00,$16.00,$7.00,$7.00
